City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Belushya Guba,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
142,Laem Sing,TH,12.4816,102.0738,81.57,85,97,7.76,overcast clouds
143,Ngukurr,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
144,Neiba,DO,18.5,-71.4167,79.29,74,27,4.25,scattered clouds
145,Goderich,CA,43.7501,-81.7165,76.21,82,11,3.44,few clouds
146,Vestmannaeyjar,IS,63.4427,-20.2734,54.23,89,100,9.42,overcast clouds
147,Santarem,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
148,Salinopolis,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
149,Codrington,AU,-38.2667,141.9667,50.58,77,38,6.98,scattered clouds
150,Khatanga,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
151,Kokopo,PG,-2.5744,150.7967,83.08,75,75,13.24,moderate rain
152,Innisfail,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
153,Hermanus,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
154,Halifax,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
155,Cherskiy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
156,Namsos,NO,62.5833,6.1333,66.25,88,100,4.61,overcast clouds
157,Yarmouth,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
158,Tsihombe,MG,-13.2,49.05,68.41,85,70,1.99,broken clouds
159,High Rock,BS,26.6208,-78.2833,84.22,67,4,5.93,clear sky
160,Broken Hill,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
161,Kahului,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
162,Chokurdakh,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
163,Okhotsk,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
164,Panzhihua,CN,30.3,109.4833,75.51,98,100,1.01,moderate rain
165,Souillac,MU,-20.4081,57.7,69.26,83,42,11.32,light rain
166,Pacific Grove,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
167,Krasnoselkup,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
168,Sinkat,PH,7.9986,124.2928,69.66,80,100,2.66,light rain
169,Stornoway,GB,58.2093,-6.3865,58.96,94,75,3.44,broken clouds
170,Fortuna,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
171,Saint Anthony,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
172,Kailua,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
173,Berezhany,UA,49.45,24.9333,58.71,81,2,7.05,clear sky
174,Nelson Bay,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
175,Castro,CL,-53.15,-70.9167,35.71,75,0,23.02,clear sky
176,Otta,NO,62.5833,6.1333,66.25,88,100,4.61,overcast clouds
177,Paradwip,IN,11.6667,92.75,81.68,83,100,13.31,overcast clouds
178,Sao Filipe,PT,32.6667,-17.1,74.01,87,83,5.91,broken clouds
179,Dikson,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
180,Barrow,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
181,Taoudenni,ML,22.6783,-3.9836,102,11,2,9.44,clear sky
182,Port Augusta,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
183,Qaanaaq,GL,72.7868,-56.1549,40.59,94,97,9.1,overcast clouds
184,Oktyabrskiy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
185,Steinheim,DE,51.8707,9.0914,62.2,91,47,9.31,scattered clouds
186,Yeniseysk,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
187,Rio Grande,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
188,Fort Nelson,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
189,Esperance,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
190,Fountain,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
191,Comodoro Rivadavia,AR,-54.8,-68.3,31.66,100,90,36.82,heavy snow
192,Erzincan,TR,39.75,39.5,61.9,72,0,3.44,clear sky
193,Norman Wells,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
194,Aklavik,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
195,Thompson,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
196,Xining,CN,30.3,109.4833,75.51,98,100,1.01,moderate rain
197,Matara,LK,5.9485,80.5353,77.76,87,100,14.79,overcast clouds
198,Agadez,NE,19.75,10.25,91.29,11,6,4.18,clear sky
199,San Patricio,MX,23.45,-110.2167,89.4,73,74,8.55,broken clouds
200,Hofn,IS,63.4427,-20.2734,54.23,89,100,9.42,overcast clouds
201,Sao Felix Do Xingu,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
202,Mys Shmidta,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
203,Kirakira,SB,-10.4544,161.9205,84.49,66,96,6.64,overcast clouds
204,Nouadhibou,MR,20.931,-17.0347,68.95,91,3,12.44,clear sky
205,Sao Raimundo Nonato,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
206,Haines Junction,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
207,Richards Bay,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
208,Gornopravdinsk,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
209,Yaounde,CM,3.8667,11.5167,66.33,98,100,4.25,light rain
210,Bambous Virieux,MU,-20.4081,57.7,69.26,83,42,11.32,light rain
211,Ibra,OM,22.6906,58.5334,88.27,44,40,2.26,scattered clouds
212,Talnakh,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
213,Utiroa,KI,3.0707,172.7902,82.81,65,13,14.09,few clouds
214,Ryotsu,JP,35.7333,140.8333,79.2,97,100,25.88,heavy intensity rain
215,Lavrentiya,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
216,Bengkulu,ID,-8.5833,116.1167,77.81,77,37,5.01,scattered clouds
217,Berlevag,NO,62.5833,6.1333,66.25,88,100,4.61,overcast clouds
218,Sioux Lookout,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
219,Phon,TH,12.4816,102.0738,81.57,85,97,7.76,overcast clouds
220,Husavik,IS,63.4427,-20.2734,54.23,89,100,9.42,overcast clouds
221,Kaitangata,NZ,-46.6,168.3333,38.8,87,100,6.69,overcast clouds
222,Torbay,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
223,Nindiri,NI,12.0039,-86.1213,77.16,82,100,8.23,overcast clouds
224,Noumea,NC,-20.2333,164.0167,70.56,67,100,5.99,overcast clouds
225,Along,IN,11.6667,92.75,81.68,83,100,13.31,overcast clouds
226,Miranda Do Corvo,PT,38.5167,-28.7,69.91,70,14,11.32,few clouds
227,Marquette,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
228,Harper,LR,4.375,-7.7169,76.23,81,55,8.57,broken clouds
229,Baykit,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
230,Paripiranga,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
231,Valdivia,CL,-53.15,-70.9167,35.71,75,0,23.02,clear sky
232,Nha Trang,VN,12.25,109.1833,84.2,65,100,4.76,overcast clouds
233,Evensk,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
234,Barentu,ER,15.1139,37.5928,70.07,83,93,3.44,overcast clouds
235,Namatanai,PG,-2.5744,150.7967,83.08,75,75,13.24,moderate rain
236,Yarovoye,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
237,Tura,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
238,Bayir,TR,37.2687,28.2167,73.92,59,0,5.88,clear sky
239,Ngunguru,NZ,-46.6,168.3333,38.8,87,100,6.69,overcast clouds
240,Basoko,CN,33.2288,105.0179,62.06,94,100,4.45,overcast clouds
241,Dunedin,NZ,-46.6,168.3333,38.8,87,100,6.69,overcast clouds
242,Ilam,NP,26.9167,87.9167,70.38,97,100,2.1,overcast clouds
243,Portland,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
244,Olafsvik,IS,63.4427,-20.2734,54.23,89,100,9.42,overcast clouds
245,Chongwe,ZM,-15.3292,28.682,56.61,53,0,2.19,clear sky
246,Inhambane,MZ,-23.865,35.3833,65.59,90,2,5.14,clear sky
247,Andenes,NO,62.5833,6.1333,66.25,88,100,4.61,overcast clouds
248,Karaul,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
249,Progreso,MX,23.45,-110.2167,89.4,73,74,8.55,broken clouds
250,Naduvattam,IN,11.6667,92.75,81.68,83,100,13.31,overcast clouds
251,Mehran,IR,33.1222,46.1646,98.06,12,54,6.04,broken clouds
252,Nisia Floresta,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
253,Zolotinka,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
254,Kalmunai,LK,5.9485,80.5353,77.76,87,100,14.79,overcast clouds
255,Gayny,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
256,Sinegorye,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
257,Leningradskiy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
258,Korla,CN,30.3,109.4833,75.51,98,100,1.01,moderate rain
259,Rawson,AR,-54.8,-68.3,31.66,100,90,36.82,heavy snow
260,Muisne,EC,-1.7,-77.9333,68.05,88,82,3.49,light rain
261,Ust-Nera,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
262,Laramie,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
263,Teacapan,MX,23.45,-110.2167,89.4,73,74,8.55,broken clouds
264,Sikonge,TZ,-5.6333,32.7667,68.49,45,60,8.52,broken clouds
265,Havre-Saint-Pierre,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
266,Puerto Narino,CO,3.8653,-67.9239,72.99,95,49,0.98,scattered clouds
267,Cessnock,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
268,Henties Bay,NA,-26.6481,15.1594,59.58,54,27,5.53,scattered clouds
269,San Quintin,MX,23.45,-110.2167,89.4,73,74,8.55,broken clouds
270,Yeppoon,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
